,net_value,daily_return
2010-05-28,1.3281755985801154,0.0009741279616840802
2010-05-31,1.30518458892755,-0.017310218375600255
2010-06-01,1.2914972936990923,-0.010486865493642129
2010-06-02,1.2961222304411688,0.003581065763467322
2010-06-03,1.2938232223051191,-0.0017737587413087987
2010-06-04,1.2972592025662735,0.0026556798501673586
2010-06-07,1.2872817337590823,-0.007691191388315787
2010-06-08,1.2868385671257339,-0.0003442654562139021
2010-06-09,1.3164249062642905,0.022991492401910518
2010-06-10,1.3135451586103886,-0.0021875517852924754
2010-06-11,1.3097168821212224,-0.002914461268477588
2010-06-17,1.296415570734713,-0.010155867705520096
2010-06-18,1.2626959183333868,-0.026009910064730458
2010-06-21,1.2902840159659834,0.02184856799807328
2010-06-22,1.292324216273425,0.001581202496656665
2010-06-23,1.285024127449273,-0.005648806028879166
2010-06-24,1.28751399243454,0.0019376017399839642
2010-06-25,1.2771884141017822,-0.00801977950797522
2010-06-28,1.266743086092229,-0.008178376733004535
2010-06-29,1.2226629515763818,-0.03479800679380852
2010-06-30,1.2204552873798409,-0.0018056196057096101
2010-07-01,1.2061506779260447,-0.011720715704797597
2010-07-02,1.2012953390926464,-0.004025482820891811
2010-07-05,1.1954903574735019,-0.004832268494048379
2010-07-06,1.218913394254597,0.019592827859018877
2010-07-07,1.2281857324068004,0.00760705247469492
2010-07-08,1.2254522835828434,-0.002225598907260139
2010-07-09,1.2519932677625352,0.021658113118932874
2010-07-12,1.2594077221694866,0.005922120028809854
2010-07-13,1.247087244182214,-0.009782755632186396
2010-07-14,1.2530370393639945,0.004770953443343015
2010-07-15,1.2337978149341775,-0.01535407480020088
2010-07-16,1.237109404058196,0.002684061427191869
2010-07-19,1.2603748168461146,0.018806269446824352
2010-07-20,1.2830505785123267,0.01799128430934105
2010-07-21,1.2846377722904974,0.001237046929210687
2010-07-22,1.2980534492598061,0.010443159354865374
2010-07-23,1.303251884841603,0.004004793165305659
2010-07-26,1.3138054517063054,0.008097871936694001
2010-07-27,1.3127748618522141,-0.0007844310987999356
2010-07-28,1.3362387434843093,0.017873500105714726
2010-07-29,1.3359179257455471,-0.00024009013383765926
2010-07-30,1.3322829196649755,-0.0027209800920538667
2010-08-02,1.3554051898159811,0.017355375355874104
2010-08-03,1.3347505056406064,-0.015238752463519063
2010-08-04,1.3387338069051586,0.002984303993681821
2010-08-05,1.3380461281410523,-0.0005136784927364111
2010-08-06,1.3567239215280353,0.013959005593425952
2010-08-09,1.3667635859037943,0.00739993171525398
2010-08-10,1.3324238344009252,-0.025124865673211084
2010-08-11,1.3392673891859472,0.005136169594338621
2010-08-12,1.3262072480787506,-0.009751705456768497
2010-08-13,1.341317243730898,0.011393389437463118
2010-08-16,1.365248984565355,0.017841969113802245
2010-08-17,1.3693266003040339,0.002986719481045354
2010-08-18,1.3663581079284142,-0.0021678483241036393
2010-08-19,1.3682328865893065,0.0013720990493002164
2010-08-20,1.3435074560365574,-0.01807106874501748
2010-08-23,1.3461231974262693,0.0019469496637024364
2010-08-24,1.3526862223482878,0.00487550094565405
2010-08-25,1.3308355266722722,-0.01615355824211938
2010-08-26,1.33653598260454,0.004283366214697961
2010-08-27,1.3455199932403668,0.006721862151679245
2010-08-30,1.374722947754766,0.02170384287198198
2010-08-31,1.378854404433399,0.0030053013120793955
2010-09-01,1.3644107368277898,-0.010475121636605545
